"Twin","RMSE_mAge_BernabeuE2023c","RMSE_mAge_CBL_common","RMSE_mAge_CBL_specific","RMSE_mAge_Cortex_common","RMSE_mAge_epiTOC2","RMSE_mAge_HannumG2013","RMSE_mAge_HorvathS2018","RMSE_mAge_LevineM2018","RMSE_mAge_LuA2019","RMSE_mAge_LuA2023p1","RMSE_mAge_LuA2023p2","RMSE_mAge_LuA2023p3","RMSE_mAge_McEwenL2019","RMSE_mAge_PCHannumG2013","RMSE_mAge_PCHorvathS2013","RMSE_mAge_PCHorvathS2018","RMSE_mAge_PCPhenoAge","RMSE_mAge_ShirebyG2020","RMSE_mAge_ZhangQ2019","RMSE_mAge_ZhangY2017"
"dizygotic_twinpair_39",11.9796176533562,13.1866735831561,5.72863704599468,25.9713257126562,1430.99031995873,7.47558897665388,6.80103700885924,26.5081513908594,60.7591354853,26.2967911278229,8.42515084011205,15.9960911019665,42.8038179174065,13.0983990001693,5.91616842255006,4.00010112529082,25.2955026013626,5.20051122482996,11.4958899385463,67.8494155984143
"dizygotic_twinpair_4",15.4319308755149,6.32067366834079,6.29467306716206,13.1093762613432,1037.08984187321,18.5087723209072,3.044580900526,32.0327746304916,52.8137982692578,16.2304383815507,4.744725962816,6.22869566587861,46.2696293068096,6.64199553020951,6.01573231239086,14.8842647761267,14.6046999253955,4.0761037229773,13.2970407230017,60.0717859446582
"dizygotic_twinpair_40",8.86673565774365,4.12220354741638,14.8636181954326,19.4770147007694,1374.1510805839,5.45555360372291,8.01302587592036,21.1621477575005,47.7809174291169,19.0607376644621,3.40205023422895,7.48028638062347,30.5889064997588,20.1794068536775,1.20236052419561,0.707488432803791,30.6734225641152,5.96277564516727,6.95003407244299,55.0501860973392
"dizygotic_twinpair_41",1.66407282685325,2.00567446215652,17.0046536910134,14.7340410782939,2133.28962259104,9.0717266741143,15.3989592934499,11.9378819247097,44.6094834648793,15.0716520923731,7.56987970763326,1.750468226722,28.8750408725296,26.5139754405223,5.25526779257244,4.19869718604526,37.5431874223221,14.7490994491817,0.822474205944265,51.7740176606964
"dizygotic_twinpair_42",6.52710881410571,1.98685029645156,12.2450224963685,12.4895890206182,1263.80524691306,5.04403666275209,4.02269939668946,22.7097379300901,39.4201599545748,9.90185529472677,7.85842807980813,3.64115060765928,31.6323847624739,19.389679202783,4.49147295725397,5.14080735160043,27.8262429296945,7.02052013151572,5.21124538779719,46.6296069390044
"dizygotic_twinpair_43",9.80548798973804,6.22511397942776,13.2432514773014,14.0434005064075,1570.31477482256,14.9721063486989,15.4346067088974,27.4255014642336,50.6027701612044,19.0775245210008,2.04153542557571,8.69930331766241,38.9070191729481,17.9459457027664,7.64975379762574,13.4806768793052,26.7035863252417,8.8397122890176,7.014204387892,58.0823545471484
"dizygotic_twinpair_44",5.36581786569737,2.07522203233289,16.620197619031,12.1020731649237,1233.29299035415,10.9119143765891,7.92471915657094,23.2508704009124,38.7985269382492,9.48339396232744,9.025636388503,3.22062726066295,30.1396758194961,21.4795088772225,5.48724261888473,6.28070874808294,31.6773512369646,10.0523862925738,3.3698749913128,46.1610956605865
"dizygotic_twinpair_45",2.95001377592335,7.31552619627709,19.405413332434,9.19707148221683,1100.01596907361,15.8454478163555,15.5266475585244,16.6318596057363,35.2839502062108,8.23160396422808,9.9710268425168,4.27683745038685,22.0630296180289,28.9417310387114,10.3451436707576,8.41287488119866,38.9748475105282,16.9766861110004,3.67494698158033,42.6029479146598
"dizygotic_twinpair_46",4.49128064895927,6.20250237935597,8.46675569022076,17.5097462762645,1215.79611122414,1.93113257464825,5.97607595187719,22.2992602474029,47.1151412777827,13.824186504353,6.96075584976238,3.42119146271408,35.8337915295266,20.927828079842,3.47155088114756,6.27628379132977,30.2425729568264,9.07952740768956,5.76605570837882,54.0782285877236
"dizygotic_twinpair_47",8.62760970574779,9.02933009957916,5.62625124997463,15.9669247674627,1046.43237135892,4.37980826774024,3.02829880160927,26.9281474835589,47.279751404953,18.0580485351806,2.703178147084,7.99984443123961,35.3327358067162,14.5318611946234,3.96464071555181,7.81184262796394,24.637176879611,4.7949227466495,6.76243518637131,54.3882574121251
